time /s	I /mA	E /V
2.6000000E+00	-7.1137E-03	-2.9724E-02
2.6100000E+00	-7.4027E-03	-5.1048E-02
2.6200000E+00	-7.1999E-03	-6.8355E-02
2.6300000E+00	-6.9346E-03	-8.2022E-02
2.6400000E+00	-6.3146E-03	-9.1014E-02
2.6500000E+00	-5.4374E-03	-9.4705E-02
2.6600000E+00	-4.3614E-03	-9.3680E-02
2.6700000E+00	-3.0999E-03	-8.7733E-02
2.6800000E+00	-1.7391E-03	-7.6709E-02
2.6900000E+00	-3.2646E-04	-6.1422E-02
2.7000000E+00	1.2198E-03	-4.1735E-02
2.7100000E+00	2.5462E-03	-1.9079E-02
2.7200000E+00	3.9683E-03	6.5512E-03
2.7300000E+00	5.0596E-03	3.3518E-02
2.7400000E+00	6.1707E-03	6.1850E-02
2.7500000E+00	6.9847E-03	8.9845E-02
2.7600000E+00	7.6731E-03	1.1683E-01
2.7700000E+00	8.1615E-03	1.4185E-01
2.7800000E+00	8.5627E-03	1.6450E-01
2.7900000E+00	8.6510E-03	1.8316E-01
2.8000000E+00	8.6681E-03	1.9814E-01
2.8100000E+00	8.2504E-03	2.0850E-01
2.8200000E+00	7.3694E-03	2.1412E-01
2.8300000E+00	6.0138E-03	2.1447E-01
2.8400000E+00	4.4910E-03	2.0980E-01
2.8500000E+00	2.7218E-03	2.0013E-01
2.8600000E+00	1.1445E-03	1.8616E-01
2.8700000E+00	-4.0075E-04	1.6818E-01
2.8800000E+00	-1.8297E-03	1.4649E-01
2.8900000E+00	-3.0370E-03	1.2251E-01
2.9000000E+00	-4.1489E-03	9.6512E-02
2.9100000E+00	-5.1569E-03	6.9564E-02
2.9200000E+00	-5.9105E-03	4.2906E-02
2.9300000E+00	-6.5873E-03	1.6934E-02
2.9400000E+00	-7.0491E-03	-7.0602E-03
2.9500000E+00	-7.3525E-03	-2.8718E-02
2.9600000E+00	-7.2204E-03	-4.6717E-02
2.9700000E+00	-6.9808E-03	-6.0696E-02
2.9800000E+00	-6.3244E-03	-7.0045E-02
2.9900000E+00	-5.5215E-03	-7.4685E-02
3.0000000E+00	-4.4176E-03	-7.4051E-02
3.0100000E+00	-3.2522E-03	-6.8727E-02
3.0200000E+00	-1.8267E-03	-5.8369E-02
3.0300000E+00	-4.6892E-04	-4.3414E-02
3.0400000E+00	1.0744E-03	-2.4425E-02
3.0500000E+00	2.4789E-03	-1.7771E-03
3.0600000E+00	3.7980E-03	2.3537E-02
3.0700000E+00	5.0049E-03	5.0539E-02
3.0800000E+00	6.0929E-03	7.8513E-02
3.0900000E+00	6.8594E-03	1.0649E-01
3.1000000E+00	7.6973E-03	1.3384E-01
3.1100000E+00	8.2100E-03	1.5916E-01
3.1200000E+00	8.7289E-03	1.8182E-01
3.1300000E+00	9.0335E-03	2.0113E-01
3.1400000E+00	9.2131E-03	2.1682E-01
3.1500000E+00	8.8112E-03	2.2748E-01
3.1600000E+00	7.8921E-03	2.3350E-01
3.1700000E+00	6.4679E-03	2.3445E-01
3.1800000E+00	4.9364E-03	2.3046E-01
3.1900000E+00	3.0170E-03	2.2145E-01
3.2000000E+00	1.3576E-03	2.0815E-01
3.2100000E+00	-3.4737E-04	1.9049E-01
3.2200000E+00	-1.7795E-03	1.6918E-01
3.2300000E+00	-3.0692E-03	1.4551E-01
3.2400000E+00	-4.2099E-03	1.1952E-01
3.2500000E+00	-5.1749E-03	9.2854E-02
3.2600000E+00	-5.9008E-03	6.5910E-02
3.2700000E+00	-6.6838E-03	3.9912E-02
3.2800000E+00	-7.0347E-03	1.5605E-02
3.2900000E+00	-7.3024E-03	-6.3905E-03
3.3000000E+00	-7.2482E-03	-2.4705E-02
3.3100000E+00	-7.0183E-03	-3.9386E-02
3.3200000E+00	-6.4095E-03	-4.9377E-02
3.3300000E+00	-5.6041E-03	-5.4363E-02
3.3400000E+00	-4.5394E-03	-5.4370E-02
3.3500000E+00	-3.3765E-03	-4.9741E-02
3.3600000E+00	-1.9633E-03	-3.9715E-02
3.3700000E+00	-6.1662E-04	-2.5403E-02
3.3800000E+00	9.2547E-04	-6.7170E-03
3.3900000E+00	2.3229E-03	1.5569E-02
3.4000000E+00	3.6373E-03	4.0181E-02
3.4100000E+00	4.8527E-03	6.7165E-02
3.4200000E+00	5.9359E-03	9.5170E-02
3.4300000E+00	6.8576E-03	1.2318E-01
3.4400000E+00	7.7249E-03	1.5048E-01
3.4500000E+00	8.3791E-03	1.7616E-01
3.4600000E+00	9.0542E-03	1.9948E-01
3.4700000E+00	9.4048E-03	2.1915E-01
3.4800000E+00	9.6407E-03	2.3513E-01
3.4900000E+00	9.1331E-03	2.4643E-01
3.5000000E+00	8.2295E-03	2.5311E-01
3.5100000E+00	6.8372E-03	2.5478E-01
3.5200000E+00	5.1766E-03	2.5117E-01
3.5300000E+00	3.4142E-03	2.4283E-01
